Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
,1230602.0,29.2,,1676000000.0,348200.0,462400.0,1.96,10.8
,193633.0,,,,10000.0,21700.0,5.89,38.0
18000000000.0,106202903.0,23.5,19510.0,60670000000.0,15958700.0,28125000.0,2.45,3.2
,108105.0,,,,10100.0,1800.0,3.25,16.0
,,,,,,,,
,4455421.0,63.4,1138.0,390000000.0,706900.0,338200.0,1.81,8.0
,32409.0,,,,33700.0,19300.0,1.76,22.0
,2791272.0,,,,142300.0,404400.0,2.26,6.7
,9341.0,,,,,70.0,1.78,6.0
300000000.0,32725847.0,70.2,1907.0,15140000000.0,1219200.0,7332800.0,2.73,12.1
0.0,19406703.0,,3123.0,1206000000.0,83700.0,428900.0,4.7,21.0
0.0,2030692.0,38.5,2382.0,360000000.0,127400.0,223700.0,3.18,35.0
,13048.0,,,,1900.0,1500.0,3.19,90.0
,,,,,,,,
,27676547.0,,59.0,,371800.0,50400.0,4.19,47.0
88060000.0,16407491.0,55.8,2808.0,21440000000.0,10004000.0,12500000.0,1.66,6.0
,219958.0,,,,81000.0,81000.0,2.0,15.6
,216494.0,,,,52000.0,80000.0,2.31,19.0
89620000.0,4035461.0,22.1,3898.0,4805000000.0,1765000.0,2599000.0,1.79,4.2
,5465100.0,69.5,6.0,670000000.0,171600.0,202800.0,2.81,7.8
,11665937.0,,,,22400.0,24000.0,6.75,
34000000000.0,128771988.0,20.0,3557.0,14710000000.0,853100.0,3149500.0,5.53,
,2166.0,,,,1100.0,400.0,,
,1828.0,,,,2532.0,0.0,,0.0
,80362.0,,,,21000.0,3000.0,1.27,
9859000000.0,4593041.0,33.1,4077.0,,3343000.0,4163400.0,1.78,4.3
5500000000.0,3001583.0,10.3,,4144000000.0,233900.0,464900.0,5.84,15.0
325500000.0,162419946.0,71.4,8163.0,12580000000.0,3982800.0,2624800.0,4.14,8.3
,20303.0,,,,6700.0,1000.0,2.46,2.3
,,,,,,,,
,3039150.0,69.2,355.0,1076000000.0,386900.0,834000.0,2.45,12.6
170000000.0,5545268.0,59.3,,635800000.0,62000.0,15000.0,3.96,
,6347884.0,39.2,441.0,1164000000.0,273200.0,1770300.0,3.93,15.1
408800000.0,27925628.0,44.1,3462.0,12700000000.0,1839200.0,2908800.0,2.56,9.6
152000000.0,87857473.0,74.2,897.0,16050000000.0,3310900.0,15201000.0,3.16,11.7
,46.0,,,,1.0,,,
116400000.0,38635144.0,49.9,23852.0,41880000000.0,12300000.0,17401000.0,1.39,19.5
,10566212.0,61.5,2850.0,12300000000.0,4278800.0,9341400.0,1.47,6.5
,3916632.0,,96.0,,1329500.0,1211111.0,1.91,12.0
16000000000.0,863051.0,,,3351000000.0,184500.0,376500.0,2.87,2.7
,776948.0,,,,300000.0,489800.0,2.47,36.0
1055000000.0,22329977.0,23.6,11385.0,16210000000.0,4300000.0,6900000.0,1.36,6.3
69000000000.0,143420309.0,28.2,87157.0,124500000000.0,35500000.0,17608800.0,1.27,8.3
0.0,8440820.0,,,210900000.0,23200.0,134000.0,5.49,
,7460.0,,,,2200.0,0.0,1.54,14.0
,38958.0,,50.0,,23500.0,5000.0,2.33,4.5
,166312.0,,,,51100.0,14300.0,2.21,20.0
,7012.0,,,,4800.0,0.0,2.03,9.8
,117534.0,,,,27300.0,10000.0,1.85,15.0
,177287.0,,,,11800.0,2700.0,3.01,
,28880.0,,,,20600.0,16800.0,1.33,2.6
,187410.0,,,29780000.0,7000.0,4800.0,5.71,
261700000000.0,26417599.0,75.0,1392.0,23620000000.0,3502600.0,7238200.0,4.05,25.0
,11126832.0,55.2,906.0,820000000.0,228800.0,575900.0,4.75,48.0
38750000.0,10829175.0,80.0,4380.0,3550000000.0,2611700.0,3634600.0,1.67,30.0
,81188.0,122.8,,70940000.0,21700.0,54500.0,1.75,
,6017643.0,,,,24000.0,67000.0,5.72,
,4425720.0,102.5,,112800000000.0,1896100.0,3521800.0,1.05,3.4
4500000.0,5431363.0,46.6,3661.0,14910000000.0,1294700.0,3678800.0,1.32,13.1
,2011070.0,31.5,1201.0,8493000000.0,812300.0,1739100.0,1.24,6.4
,538032.0,,,,6600.0,1000.0,4.04,
0.0,8591629.0,,,,100000.0,35000.0,6.84,
7840000.0,44344136.0,45.9,22298.0,11680000000.0,4844000.0,16860000.0,2.24,26.2
,,,,,,,,
10500000.0,40341462.0,53.2,14268.0,19700000000.0,17567500.0,37506700.0,1.28,10.4
,,,,,,,,
,20064776.0,104.3,1449.0,2475000000.0,881400.0,931600.0,1.85,7.8
1600000000.0,40187486.0,79.7,5995.0,1652000000.0,900000.0,650000.0,4.85,18.7
99000000.0,438144.0,,,,79800.0,168100.0,2.34,17.0
,2701.0,,,,,,,
,1173900.0,,301.0,320500000.0,46200.0,88000.0,3.7,34.0
,9001774.0,51.6,11481.0,19990000000.0,6579200.0,7949000.0,1.66,5.6
,7489370.0,57.2,4533.0,69580000000.0,5419000.0,6172000.0,1.42,3.4
2500000000.0,18448752.0,32.0,2711.0,5000000000.0,2099300.0,400000.0,3.5,20.0
2900000.0,22894384.0,32.4,2508.0,246500000000.0,13355000.0,25089600.0,1.57,4.5
,7163506.0,,482.0,145300000.0,242100.0,47600.0,4.05,40.0
0.0,36766356.0,5.0,3690.0,2175000000.0,149100.0,891200.0,5.06,
600000000.0,65444371.0,47.6,4071.0,48300000000.0,6617400.0,26500000.0,1.88,1.5
,5681519.0,,568.0,267400000.0,60600.0,220000.0,4.61,
,1405.0,,,,300.0,0.0,,
,112422.0,,,,11200.0,9000.0,3.0,13.3
990000000.0,1088644.0,54.4,,2927000000.0,325100.0,361900.0,1.75,10.4
,,,,,,,,
1700000000.0,10074951.0,59.2,2152.0,3509000000.0,1163800.0,1899900.0,1.75,13.8
288400000.0,69660559.0,74.3,8671.0,37100000000.0,18916700.0,27887500.0,1.94,9.3
273000000.0,4952081.0,,2440.0,3034000000.0,374000.0,52000.0,3.41,60.0
,20556.0,,,,5700.0,1700.0,3.08,10.0
,11636.0,,,,700.0,0.0,3.0,
,27269482.0,73.9,1241.0,1200000000.0,61000.0,776200.0,6.74,
395000000.0,47425336.0,24.7,22473.0,11330000000.0,10833300.0,4200000.0,1.4,3.5
97800000000.0,2563212.0,17.6,,18640000000.0,1135800.0,2972300.0,2.94,2.4
25410000000.0,60441457.0,39.6,17186.0,48730000000.0,34898000.0,49677000.0,1.66,4.8
22450000000.0,295734134.0,65.0,228464.0,85940000000.0,181599900.0,158722000.0,2.08,5.5
,3415920.0,,2073.0,2362000000.0,946500.0,652000.0,1.91,13.0
297000000.0,26851195.0,41.5,3950.0,1603000000.0,1717100.0,320800.0,2.94,0.6
,205754.0,,,,6500.0,7800.0,2.77,
78000000000.0,25375281.0,43.1,682.0,25750000000.0,2841800.0,6463600.0,2.26,17.1
650000000.0,83535576.0,65.9,2600.0,6510000000.0,4402000.0,2742000.0,1.94,1.9
,108708.0,,,,69400.0,41000.0,2.19,9.3
,,,,,,,,
,16025.0,,,,1900.0,0.0,,
,2385615.0,,,,301600.0,480000.0,4.4,27.2
,273008.0,,,,,0.0,,
4000000000.0,20727063.0,46.4,,5300000000.0,542200.0,411100.0,6.67,35.0
,11261795.0,127.5,2173.0,345000000.0,88400.0,241000.0,5.47,50.0
,12746990.0,52.3,3077.0,57000000.0,300900.0,379100.0,3.54,70.0
